id,name,college,country
3369,Cameron Johnson,North Carolina,USA
3375,Cameron Payne,Murray State,USA
3382,Caris LeVert,Michigan,USA
3385,Carmelo Anthony,Syracuse,USA
3277,Ben Simmons,Louisiana State,Australia
3388,Carsen Edwards,Purdue,USA
3274,Ben McLemore,Kansas,USA
3268,BJ Johnson,La Salle,USA
3140,Aaron Holiday,UCLA,USA
3147,Abdel Nader,Iowa State,Egypt
3150,Adam Mokoka,,France
3153,Admiral Schofield,Tennessee,United Kingdom
3157,Al Horford,Florida,Dominican Republic
3160,Al-Farouq Aminu,Wake Forest,USA
3163,Alec Burks,Colorado,USA
3170,Alen Smailagic,,Serbia
3173,Alex Caruso,Texas A&M,USA
3176,Alex Len,Maryland,Ukraine
3179,Alfonzo McKinnie,Wisconsin-Green Bay,USA
3183,Alize Johnson,Missouri State,USA
3186,Allen Crabbe,California,USA
3189,Allonzo Trier,Arizona,USA
3196,Amile Jefferson,Duke,USA
3199,Amir Coffey,Minnesota,USA
3206,Andre Drummond,Connecticut,USA
3209,Andre Iguodala,Arizona,USA
3212,Andre Roberson,Colorado,USA
3215,Andrew Wiggins,Kansas,Canada
3219,Anfernee Simons,,USA
3222,Ante Zizic,,Croatia
3225,Anthony Davis,Kentucky,USA
3238,Anthony Tolliver,Creighton,USA
3241,Antonius Cleveland,S.E. Missouri,USA
3245,Anzejs Pasecniks,,Latvia
3251,Aron Baynes,Washington State,Australia
3258,Austin Rivers,Duke,USA
3261,Avery Bradley,Texas-Austin,USA
3271,Bam Adebayo,Kentucky,USA
3398,Cedi Osman,,Turkey
3401,Chandler Hutchison,Boise State,USA
3405,Chandler Parsons,Florida,USA
3532,Darius Bazley,,USA
3535,Darius Garland,Vanderbilt,USA
3542,Daryl Macon,Arkansas,USA
3545,David Nwaba,Cal Poly,USA
3548,Davis Bertans,,Latvia
3552,De'Aaron Fox,Kentucky,USA
3555,De'Andre Hunter,Virginia,USA
3558,De'Anthony Melton,Southern California,USA
3561,DeAndre Jordan,Texas A&M,USA
3565,DeAndre' Bembry,St. Joseph's (PA),USA
3568,DeMar DeRozan,Southern California,USA
3575,DeMarre Carroll,Missouri,USA
3578,Dean Wade,Kansas State,USA
3581,Deandre Ayton,Arizona,Bahamas
3588,Dejounte Murray,Washington,USA
3591,Delon Wright,Utah,USA
3597,Dennis Schroder,,Germany
3601,Dennis Smith Jr.,North Carolina State,USA
3604,Denzel Valentine,Michigan State,USA
3607,Deonte Burton,Iowa State,USA
3610,Derrick Favors,Georgia Tech,USA
3614,Derrick Jones Jr.,UNLV,USA
3617,Derrick Rose,Memphis,USA
3620,Derrick Walton Jr.,Michigan,USA
3623,Derrick White,Colorado,USA
3630,Devin Booker,Kentucky,USA
3643,Devon Hall,Virginia,USA
3646,Devontae Cacok,North Carolina-Wilmington,USA
3650,Devonte' Graham,Kansas,USA
3529,Dario Saric,,Croatia
3526,Danuel House Jr.,Texas A&M,USA
3522,Dante Exum,,Australia
3519,Danny Green,North Carolina,USA
3408,Charlie Brown Jr.,St. Joseph's (PA),USA
3411,Chasson Randle,Stanford,USA
3414,Cheick Diallo,Kansas,Mali
3418,Chimezie Metu,Southern California,USA
3421,Chris Boucher,Oregon,Saint Lucia
3424,Chris Chiozza,Florida,USA
3428,Chris Clemons,Campbell University,USA
3431,Chris Paul,Wake Forest,USA
3434,Chris Silva,South Carolina,Gabon
3437,Christian Wood,UNLV,USA
3444,Clint Capela,,Switzerland
3447,Coby White,North Carolina,USA
3450,Cody Martin,Nevada-Reno,USA
3454,Cody Zeller,Indiana,USA
4166,Jordan McRae,Tennessee,USA
3460,Collin Sexton,Alabama,USA
3467,Cory Joseph,University of Texas at Austin,Canada
3470,Courtney Lee,Western Kentucky,USA
3473,Cristiano Felicio,,Brazil
3477,D'Angelo Russell,Ohio State,USA
3480,D.J. Augustin,Texas-Austin,USA
3483,D.J. Wilson,Michigan,USA
3486,DaQuan Jeffries,Tulsa,USA
3493,Damian Jones,Vanderbilt,USA
3496,Damian Lillard,Weber State,USA
3499,Damion Lee,Drexel,USA
3503,Damyean Dotson,Houston,USA
3506,Daniel Gafford,Arkansas,USA
3512,Daniel Theis,,Germany
3516,Danilo Gallinari,,Italy
3463,Corey Brewer,Florida,USA
4172,Jordan Poole,Michigan,USA
3137,Aaron Gordon,Arizona,USA
4185,Josh Hart,Villanova,USA
4835,Rondae Hollis-Jefferson,Arizona,USA
4838,Royce O'Neale,Baylor,USA
4842,Rudy Gay,Connecticut,USA
4845,Rudy Gobert,,France
4848,Rui Hachimura,Gonzaga,Japan
4851,Russell Westbrook,UCLA,USA
4855,Ryan Anderson,California,USA
4858,Ryan Arcidiacono,Villanova,USA
4861,Ryan Broekhoff,Valparaiso,Australia
4877,Sekou Doumbouya,,France
4881,Semi Ojeleye,Southern Methodist,USA
4884,Serge Ibaka,,Republic of the Congo
4887,Seth Curry,Duke,USA
4891,Shabazz Napier,Connecticut,USA
4894,Shai Gilgeous-Alexander,Kentucky,Canada
4897,Shake Milton,Southern Methodist,USA
4900,Shamorie Ponds,"St. John's, N.Y.",USA
4904,Shaquille Harrison,Tulsa,USA
4907,Sindarius Thornwell,South Carolina,USA
4910,Skal Labissiere,Kentucky,Haiti
4917,Solomon Hill,Arizona,USA
4920,Spencer Dinwiddie,Colorado,USA
4923,Stanley Johnson,Arizona,USA
4926,Stanton Kidd,Colorado State,USA
4930,Stephen Curry,Davidson,USA
4933,Sterling Brown,Southern Methodist,USA
4936,Steven Adams,Pittsburgh,New Zealand
4940,Svi Mykhailiuk,Kansas,Ukraine
4943,T.J. Leaf,UCLA,USA
4832,Romeo Langford,Indiana,USA
4946,T.J. McConnell,Arizona,USA
4828,Rodney McGruder,Kansas State,USA
4822,Rodions Kurucs,,Latvia
4691,OG Anunoby,Indiana,United Kingdom
4698,Omari Spellman,Villanova,USA
4704,Oshae Brissett,Syracuse,Canada
4708,Otto Porter Jr.,Georgetown,USA
4711,P.J. Tucker,Texas-Austin,USA
4714,P.J. Washington,Kentucky,USA
4717,PJ Dozier,South Carolina,USA
4721,Pascal Siakam,New Mexico State,Cameroon
4724,Pat Connaughton,Notre Dame,USA
4727,Patrick Beverley,Arkansas,USA
4731,Patrick McCaw,UNLV,USA
4734,Patrick Patterson,Kentucky,USA
4740,Patty Mills,St.Mary's College of California,Australia
4744,Paul George,Fresno State,USA
4747,Paul Millsap,Louisiana Tech,USA
4753,Paul Watson,Fresno State,USA
4763,Quinn Cook,Duke,USA
4766,Quinndary Weatherspoon,Mississippi State,USA
4773,RJ Barrett,Duke,Canada
4776,Rajon Rondo,Kentucky,USA
4780,Raul Neto,,Brazil
4786,Rayjon Tucker,Arkansas-Little Rock,USA
4789,Reggie Bullock,North Carolina,USA
4793,Reggie Jackson,Boston College,USA
4799,Richaun Holmes,Bowling Green,USA
4802,Ricky Rubio,,Spain
4806,Robert Covington,Tennessee State,USA
4812,Robert Williams III,Texas A&M,USA
4819,Robin Lopez,Stanford,USA
4825,Rodney Hood,Duke,USA
4949,T.J. Warren,North Carolina State,USA
4953,Tacko Fall,Central Florida,Senegal
4956,Taj Gibson,Southern California,USA
5086,Tyler Johnson,Fresno State,USA
5090,Tyler Zeller,North Carolina,USA
5103,Tyrone Wallace,California,USA
5106,Tyson Chandler,,USA
5109,Tyus Jones,Duke,USA
5116,Udonis Haslem,Florida,USA
5122,Vic Law,Northwestern,USA
5126,Victor Oladipo,Indiana,USA
5129,Vince Carter,North Carolina,USA
5132,Vincent Poirier,,France
5135,Vlatko Cancar,,Slovenia
5139,Wayne Ellington,North Carolina,USA
5142,Wendell Carter Jr.,Duke,USA
5145,Wenyen Gabriel,Kentucky,South Sudan
5149,Wes Iwundu,Kansas State,USA
5152,Wesley Matthews,Marquette,USA
5155,Will Barton,Memphis,USA
5162,William Howard,,France
5165,Willie Cauley-Stein,Kentucky,USA
5168,Willy Hernangomez,,Spain
5171,Wilson Chandler,DePaul,USA
5178,Yogi Ferrell,Indiana,USA
5181,Yuta Watanabe,George Washington,Japan
5184,Zach Collins,Gonzaga,USA
5188,Zach LaVine,UCLA,USA
5191,Zach Norvell Jr.,Gonzaga,USA
5198,Zhaire Smith,Texas Tech,USA
5201,Zion Williamson,Duke,USA
5204,Zylan Cheatham,Arizona State,USA
5083,Tyler Herro,Kentucky,USA
5080,Tyler Cook,Iowa,USA
5070,Ty Jerome,Virginia,USA
5067,Troy Daniels,Virginia Commonwealth,USA
4959,Talen Horton-Tucker,Iowa State,USA
4962,Tariq Owens,Texas Tech,USA
4966,Taurean Prince,Baylor,USA
4969,Terance Mann,Florida State,USA
4972,Terence Davis,Mississippi,USA
4975,Terrance Ferguson,,USA
4979,Terrence Ross,Washington,USA
4982,Terry Rozier,Louisville,USA
4985,Thabo Sefolosha,,Switzerland
4989,Thaddeus Young,Georgia Tech,USA
4992,Thanasis Antetokounmpo,,Greece
4998,Theo Pinson,North Carolina,USA
5002,Thomas Bryant,Indiana,USA
5005,Thon Maker,,South Sudan
4175,Josh Gray,Louisiana State,USA
5008,Tim Frazier,Penn State,USA
5015,Timothe Luwawu-Cabarrot,,France
5018,Tobias Harris,Tennessee,USA
5021,Tomas Satoransky,,Czech Republic
5024,Tony Bradley,North Carolina,USA
5028,Tony Snell,New Mexico,USA
5031,Torrey Craig,South Carolina Upstate,USA
5034,Trae Young,Oklahoma,USA
5041,Tremont Waters,Louisiana State,USA
5047,Treveon Graham,Va Commonwealth,USA
5051,Trevor Ariza,UCLA,USA
5054,Trey Burke,Michigan,USA
5057,Trey Lyles,Kentucky,Canada
5060,Tristan Thompson,Texas-Austin,Canada
5064,Troy Brown Jr.,Oregon,USA
5011,Tim Hardaway Jr.,Michigan,USA
4685,Norman Powell,UCLA,USA
4688,Norvel Pelle,Iona,USA
4678,Nikola Vucevic,Southern California,Montenegro
4309,Kevin Hervey,Texas-Arlington,USA
4313,Kevin Huerter,Maryland,USA
4316,Kevin Knox II,Kentucky,USA
4319,Kevin Love,UCLA,USA
4322,Kevin Porter Jr.,Southern California,USA
4326,Kevon Looney,UCLA,USA
4329,Khem Birch,UNLV,Canada
4332,Khris Middleton,Texas A&M,USA
4335,Khyri Thomas,Creighton,USA
4348,Kostas Antetokounmpo,Dayton,Greece
4352,Kris Dunn,Providence,USA
4355,Kristaps Porzingis,,Latvia
4358,Ky Bowman,Boston College,USA
4362,Kyle Alexander,Tennessee,Canada
4365,Kyle Anderson,UCLA,USA
4368,Kyle Guy,Virginia,USA
4371,Kyle Korver,Creighton,USA
4375,Kyle Kuzma,Utah,USA
4378,Kyle Lowry,Villanova,USA
4381,Kyle O'Quinn,Norfolk State,USA
4384,Kyrie Irving,Duke,Australia
4388,LaMarcus Aldridge,University of Texas at Austin,USA
4397,Lance Thomas,Duke,USA
4401,Landry Shamet,Wichita State,USA
4404,Langston Galloway,St. Joseph's (PA),USA
4407,Larry Nance Jr.,Wyoming,USA
4410,Lauri Markkanen,Arizona,Finland
4414,LeBron James,,USA
4682,Noah Vonleh,Indiana,USA
4299,Kentavious Caldwell-Pope,Georgia,USA
4420,Lonzo Ball,UCLA,USA
4296,Kent Bazemore,Old Dominion,USA
4290,Kendrick Nunn,Oakland,USA
4188,Josh Jackson,Kansas,USA
4192,Josh Magette,Alabama Huntsville,USA
4195,Josh Okogie,Georgia Tech,Nigeria
4198,Josh Reaves,Penn State,USA
4202,Josh Richardson,Tennessee,USA
4205,Jrue Holiday,UCLA,USA
4208,Juan Toscano-Anderson,Marquette,USA
4211,Juancho Hernangomez,,Spain
4215,Julius Randle,Kentucky,USA
4218,Justin Anderson,Virginia,USA
4221,Justin Holiday,Washington,USA
4224,Justin Jackson,North Carolina,USA
4228,Justin James,Wyoming,USA
4231,Justin Patton,Creighton,USA
4234,Justin Robinson,Virginia Tech ,USA
4237,Justin Wright-Foreman,Hofstra,USA
4241,Justise Winslow,Duke,USA
4244,Jusuf Nurkic,,Bosnia and Herzegovina
