pid,team,season
4933,5260,2019-20
4936,5273,2019-20
4940,5233,2019-20
4943,5243,2019-20
4832,5214,2019-20
4946,5243,2019-20
4828,5246,2019-20
4822,5211,2019-20
4691,5295,2019-20
4698,5263,2019-20
4704,5295,2019-20
4708,5220,2019-20
4711,5240,2019-20
4714,5217,2019-20
4717,5230,2019-20
4721,5295,2019-20
4724,5260,2019-20
4727,5246,2019-20
4731,5295,2019-20
4734,5246,2019-20
4740,5292,2019-20
4744,5246,2019-20
4747,5230,2019-20
4753,5295,2019-20
4763,5250,2019-20
4766,5292,2019-20
4773,5269,2019-20
4776,5250,2019-20
4780,5279,2019-20
4786,5299,2019-20
4789,5269,2019-20
4793,5246,2019-20
4799,5289,2019-20
4802,5282,2019-20
4806,5240,2019-20
4812,5214,2019-20
4819,5260,2019-20
4825,5286,2019-20
4949,5243,2019-20
4953,5214,2019-20
4956,5269,2019-20
5086,5211,2019-20
5090,5292,2019-20
5103,5207,2019-20
5106,5240,2019-20
5109,5253,2019-20
5116,5256,2019-20
5122,5276,2019-20
5126,5243,2019-20
5129,5207,2019-20
5132,5214,2019-20
5135,5230,2019-20
5139,5269,2019-20
5142,5220,2019-20
5145,5286,2019-20
5149,5276,2019-20
5152,5260,2019-20
5155,5230,2019-20
5162,5240,2019-20
5165,5227,2019-20
5168,5217,2019-20
5171,5211,2019-20
5178,5289,2019-20
5181,5253,2019-20
5184,5286,2019-20
5188,5220,2019-20
5191,5237,2019-20
5198,5279,2019-20
5201,5266,2019-20
5204,5266,2019-20
5083,5256,2019-20
5080,5230,2019-20
5070,5282,2019-20
5067,5230,2019-20
4959,5250,2019-20
4962,5282,2019-20
4966,5211,2019-20
4969,5246,2019-20
4972,5295,2019-20
4975,5273,2019-20
4979,5276,2019-20
4982,5217,2019-20
4985,5240,2019-20
4989,5220,2019-20
4992,5260,2019-20
4998,5269,2019-20
5002,5302,2019-20
5005,5233,2019-20
4175,5266,2019-20
5008,5233,2019-20
5015,5211,2019-20
5018,5279,2019-20
5021,5220,2019-20
5024,5299,2019-20
5028,5233,2019-20
5031,5230,2019-20
5034,5207,2019-20
5041,5214,2019-20
5047,5207,2019-20
5051,5286,2019-20
5054,5227,2019-20
5057,5292,2019-20
5060,5224,2019-20
5064,5302,2019-20
5011,5227,2019-20
4685,5295,2019-20
4688,5279,2019-20
4678,5276,2019-20
4309,5273,2019-20
4313,5207,2019-20
4316,5269,2019-20
4319,5224,2019-20
4322,5224,2019-20
4326,5237,2019-20
4329,5276,2019-20
4332,5260,2019-20
4335,5233,2019-20
4348,5250,2019-20
4352,5220,2019-20
4355,5227,2019-20
4358,5237,2019-20
4362,5256,2019-20
4365,5253,2019-20
4368,5289,2019-20
4371,5260,2019-20
4375,5250,2019-20
4378,5295,2019-20
4381,5279,2019-20
4384,5211,2019-20
4388,5292,2019-20
4397,5211,2019-20
4401,5246,2019-20
4404,5233,2019-20
4407,5224,2019-20
4410,5220,2019-20
4414,5250,2019-20
4682,5230,2019-20
4299,5250,2019-20
4420,5266,2019-20
4296,5289,2019-20
4290,5256,2019-20
4188,5253,2019-20
4192,5276,2019-20
4195,5263,2019-20
4198,5227,2019-20
4202,5279,2019-20
4205,5266,2019-20
4208,5237,2019-20
4211,5263,2019-20
4215,5269,2019-20
4218,5211,2019-20
4221,5243,2019-20
4224,5227,2019-20
4228,5289,2019-20
4231,5233,2019-20
4234,5302,2019-20
4237,5299,2019-20
4241,5253,2019-20
4244,5286,2019-20
4247,5299,2019-20
4250,5256,2019-20
4254,5269,2019-20
4260,5263,2019-20
4264,5246,2019-20
4267,5230,2019-20
4270,5263,2019-20
4273,5292,2019-20
4280,5256,2019-20
4283,5282,2019-20
4286,5214,2019-20
4293,5266,2019-20
4424,5246,2019-20
4417,5292,2019-20
4430,5240,2019-20
4427,5233,2019-20
4564,5240,2019-20
4567,5227,2019-20
4571,5230,2019-20
4574,5282,2019-20
4577,5299,2019-20
4584,5273,2019-20
4587,5279,2019-20
4590,5217,2019-20
4593,5269,2019-20
4597,5299,2019-20
4600,5276,2019-20
4603,5230,2019-20
4606,5246,2019-20
4610,5302,2019-20
4613,5286,2019-20
4616,5237,2019-20
4619,5243,2019-20
4626,5286,2019-20
4639,5243,2019-20
4642,5263,2019-20
4646,5289,2019-20
4649,5273,2019-20
4655,5266,2019-20
4662,5217,2019-20
4665,5211,2019-20
4668,5266,2019-20
4672,5299,2019-20
4675,5230,2019-20
4557,5246,2019-20
4554,5256,2019-20
4561,5276,2019-20
4548,5227,2019-20
4433,5273,2019-20
4437,5227,2019-20
4440,5292,2019-20
4443,5233,2019-20
4446,5220,2019-20
4453,5243,2019-20
4456,5295,2019-20
4459,5263,2019-20
4466,5217,2019-20
4469,5224,2019-20
4476,5295,2019-20
4479,5292,2019-20
4551,5276,2019-20
4486,5214,2019-20
4489,5279,2019-20
4482,5246,2019-20
4495,5276,2019-20
4544,5220,2019-20
4541,5269,2019-20
4538,5224,2019-20
4492,5286,2019-20
4531,5224,2019-20
4528,5279,2019-20
4535,5295,2019-20
4518,5260,2019-20
4515,5289,2019-20
4512,5237,2019-20
4508,5224,2019-20
4502,5253,2019-20
4499,5250,2019-20
4525,5230,2019-20
4162,5263,2019-20
5178,5246,2020-21
5201,5266,2020-21
5194,5230,2020-21
5188,5220,2020-21
5181,5295,2020-21
5175,5253,2020-21
5165,5227,2020-21
3780,5282,2020-21
3784,5276,2020-21
3787,5269,2020-21
3790,5295,2020-21
3793,5295,2020-21
3797,5279,2020-21
3800,5256,2020-21
3803,5273,2020-21
3806,5220,2020-21
3810,5302,2020-21
3813,5279,2020-21
3816,5276,2020-21
3819,5237,2020-21
3823,5295,2020-21
3826,5279,2020-21
3829,5299,2020-21
3832,5260,2020-21
3836,5289,2020-21
3839,5243,2020-21
3842,5256,2020-21
3846,5217,2020-21
3849,5292,2020-21
3852,5217,2020-21
3855,5214,2020-21
3859,5253,2020-21
3862,5230,2020-21
3865,5233,2020-21
3868,5289,2020-21
3872,5286,2020-21
3777,5233,2020-21
3875,5289,2020-21
3774,5230,2020-21
3764,5299,2020-21
3640,5220,2020-21
3646,5250,2020-21
3650,5217,2020-21
3656,5256,2020-21
3659,5266,2020-21
3663,5253,2020-21
3669,5243,2020-21
3672,5299,2020-21
3676,5276,2020-21
3679,5260,2020-21
3682,5227,2020-21
3686,5243,2020-21
3692,5237,2020-21
3695,5292,2020-21
3699,5256,2020-21
3705,5276,2020-21
3708,5279,2020-21
3712,5227,2020-21
3715,5224,2020-21
3721,5282,2020-21
3725,5263,2020-21
3728,5243,2020-21
3731,5269,2020-21
3738,5260,2020-21
3741,5299,2020-21
3748,5286,2020-21
3751,5266,2020-21
3754,5240,2020-21
3761,5237,2020-21
3767,5214,2020-21
3878,5295,2020-21
3885,5276,2020-21
3888,5211,2020-21
4019,5250,2020-21
4022,5269,2020-21
4025,5253,2020-21
4028,5263,2020-21
4032,5299,2020-21
4035,5224,2020-21
4038,5263,2020-21
4045,5220,2020-21
4048,5266,2020-21
4051,5246,2020-21
4055,5260,2020-21
4058,5214,2020-21
4061,5273,2020-21
4064,5263,2020-21
4068,5214,2020-21
4071,5211,2020-21
4074,5260,2020-21
4077,5233,2020-21
4081,5224,2020-21
4084,5243,2020-21
4094,5302,2020-21
4097,5282,2020-21
4100,5256,2020-21
4110,5211,2020-21
4113,5299,2020-21
4117,5279,2020-21
4120,5207,2020-21
4126,5253,2020-21
4130,5240,2020-21
4015,5237,2020-21
4012,5266,2020-21
4009,5266,2020-21
4006,5211,2020-21
3891,5269,2020-21
3895,5302,2020-21
3898,5224,2020-21
3901,5224,2020-21
3904,5279,2020-21
3908,5273,2020-21
3911,5233,2020-21
3914,5266,2020-21
3917,5302,2020-21
3921,5246,2020-21
3930,5227,2020-21
3937,5253,2020-21
3940,5243,2020-21
3944,5230,2020-21
3637,5292,2020-21
3947,5230,2020-21
3957,5263,2020-21
3960,5282,2020-21
3963,5240,2020-21
3966,5233,2020-21
3970,5289,2020-21
3973,5263,2020-21
3976,5292,2020-21
3979,5227,2020-21
3983,5295,2020-21
3986,5243,2020-21
3989,5217,2020-21
3993,5282,2020-21
3999,5230,2020-21
4002,5276,2020-21
3950,5214,2020-21
3633,5276,2020-21
3630,5282,2020-21
3627,5253,2020-21
3274,5250,2020-21
3277,5279,2020-21
3281,5217,2020-21
3284,5211,2020-21
3287,5227,2020-21
3290,5260,2020-21
3294,5207,2020-21
3297,5299,2020-21
3300,5230,2020-21
3303,5217,2020-21
3307,5302,2020-21
3310,5253,2020-21
3313,5207,2020-21
3317,5266,2020-21
3323,5243,2020-21
3326,5224,2020-21
3330,5260,2020-21
3333,5211,2020-21
3336,5240,2020-21
3339,5207,2020-21
3343,5260,2020-21
3346,5289,2020-21
3349,5286,2020-21
3352,5286,2020-21
3359,5217,2020-21
3366,5207,2020-21
3369,5282,2020-21
3372,5240,2020-21
3375,5282,2020-21
3271,5256,2020-21
3264,5260,2020-21
3261,5240,2020-21
3258,5230,2020-21
3140,5243,2020-21
3143,5214,2020-21
3147,5282,2020-21
3150,5220,2020-21
3157,5214,2020-21
3160,5220,2020-21
3163,5269,2020-21
3166,5273,2020-21
3170,5237,2020-21
3173,5250,2020-21
3176,5302,2020-21
3179,5250,2020-21
3183,5211,2020-21
3192,5243,2020-21
3379,5240,2020-21
3199,5246,2020-21
3206,5250,2020-21
3209,5256,2020-21
3212,5211,2020-21
3215,5237,2020-21
3219,5286,2020-21
3225,5250,2020-21
3228,5263,2020-21
3232,5302,2020-21
3235,5240,2020-21
